workerid,proliferate.condition,age,ethnicity,feedback,gender,race,time,error
280,condition1,30,Non-Hispanic,"No mather how many people were available, what it does mather is that someone was read to get to work. ",male,caucasian,708811,
308,condition1,21,Non-Hispanic,"They all had the same importance. The ship needs all three professions to be built therefore they all share an equal part in the ship building success, regardless of how many people were available.",Male,Caucasian,421002,
288,condition1,24,Hispanic,"mostly, the amount of workers of each type",male,,750923,
315,condition1,27,Non-Hispanic,"I feel like the success is completely due to whoever  participated, regardless of there being or not any replacements",Male,White,678747,
296,condition1,20,Non-Hispanic,the number of each type of workers in the village,male,Greek - White,424407,
302,condition1,22,Non-Hispanic,The factor that influenced my decision to respond was the number of people in each section in each village. ,F,Human,373796,
279,condition1,21,Non-Hispanic,"At the beginning of the survey, I thought that villagers might be more responsible for the success of the ship if they are the only ones in the village who specialized in that work. But afterwards, I realized that if they are more in number they will be more responsible as there are other options for the cities for that work. So if they are only one present in the village who are specialized in that work they will less responsible as the cities will not have any other option other than them.",male,Asian,911473,
283,condition1,20,Non-Hispanic,"The amount of people available. 

How does the responsibility change?",Male,White,420156,
306,condition1,28,Non-Hispanic,The number of people from each category ,female,white,436705,
289,condition1,22,Non-Hispanic,"I answered very much for each person, because even if there were more people with the same job, they would not have necessarily been available to build the ship, so each worker may have been essential.",Female,white,471628,
