feedback,age,gender,race,ethnicity,id,time,timestamp
"Factors influencing how I decided to respond: (1) how many gears were present, (2) how many good gears were present relative to brittle ones, (3) if there was only one green gear relative to others.",20,Female,Asian,Non-Hispanic,6848,243592,10/26/21 3:35
,20,Male,Asian,Non-Hispanic,6933,532283,10/26/21 4:39
"If it was less brittle, it would be more responsible as it has a higher chance of guaranteeing success. If there were more, I decreased the amount it was responsible. ",19,Female,Asian,Non-Hispanic,6847,1530240,10/26/21 6:18
how brittle the other gears(?) of the same color were,19,Female,Asian,Non-Hispanic,6821,440387,10/26/21 9:25
If there were other less brittle gears they could have used I thought it was less responsible.,21,Female,White,Non-Hispanic,6881,314342,10/26/21 22:23
"If the machine only needs two working gears to work, then they are both equally responsible. No matter how brittle one is, it still works so it is still responsible for the success of the machine. ",20,Female,White,Hispanic,6908,131544,10/26/21 22:45
,19,Female,Asian,Non-Hispanic,6967,142407,10/29/21 23:08
No factors influenced me besides my given knowledge of the situation. ,21,Female,American Indian/Alaska Native,Non-Hispanic,6909,313212,10/30/21 4:32
How many other usable gears there were,20,Female,Asian,Non-Hispanic,6841,224107,10/30/21 20:32
,18,Female,Asian,Non-Hispanic,6852,305601,10/30/21 23:52
"The strength of each gear in comparison with its other gear influenced my responses. If one gear was stronger than the other, I put that one as having more responsibility. If they were the same brittleness, I put they had the same responsibility. ",20,Female,White,Non-Hispanic,6797,310428,10/31/21 0:17
Mainly based responses off of red and green bars that indicated brittle,21,Female,Asian,,6882,1538511,10/31/21 6:09
"When both were green, I feel like they were both doing equal effort. When one was red and the other green, I believed the green was doing more effort. When both were red, I thought it was equal effort.",21,Male,Black/African American,Hispanic,6830,1564372,10/31/21 21:46
I believe that all of the gears contributed equally to the success of the machine regardless of how brittle they were or how many. The fact that there is variety in ability and amount doesn't change the fact that they are both needed for success. ,19,Male,,Hispanic,6985,793797,10/31/21 22:03
N/A,19,Female,Asian,Non-Hispanic,6816,344326,10/31/21 23:02
"At first, I thought they would both be responsible regardless because both are required for the outcome. But then I switched to thinking that if one gear is a lot more brittle, then it is more responsible because if the machine breaks then it is probably because of that gear.",21,Female,White,Non-Hispanic,6876,519598,11/1/21 4:52
"I decided by seeing how brittle each chosen gear was compared to the rest of the gears of the same color to determine if it was probably used or needed to make a working machine or if compared to the others of the same color, it wasn't needed.",19,Male,White,Non-Hispanic,6854,795112,11/1/21 5:22
"For each where there were more than one available gear with low fragility, I represented the likelihood of the selected gear impacting the machine as a fraction.",18,Male,Black/African American,,6870,343961,11/1/21 6:40
The different gears,19,Male,Asian,Non-Hispanic,6984,170332,11/1/21 6:46
"I assumed the two sliders for the yellow and the blue gear were percentages that would add up together to be 100%. For all of them, I put that the yellow gear and the blue gear are equally (~50%) responsible for the success, regardless of brittleness because the brittleness does not matter if the gear is not broken. That is to say, a non-brittle yellow gear cannot provide ""success"" if there is no blue gear, so the success is evenly distributed to both parties.",22,Female,Asian,Non-Hispanic,7104,366528,1/5/22 0:29
"The number of gears available in each group was the main factor that influenced my response. In addition, the number of green-level gears (which would serve as a backup if the gear in question was broken) was significant. ",18,Female,Asian,Non-Hispanic,7009,266398,1/5/22 0:49
"I thought they should all be very much since both were responsible for the success no matter how brittle they are. However, since there were so many questions on relatively the same thing, I thought that must be too easy so I made it that the more brittle were slightly less responsible for the success.",19,Female,White,Hispanic,7016,434503,1/7/22 20:30
