feedback,age,gender,race,ethnicity,id,time,timestamp
Whether or not there were enough people to do the task,20,Male,White,Hispanic,6613,142352,8/28/21 0:57
chose based on who was the least busy or how much room,20,Male,White,Hispanic,6613,220547,8/28/21 1:15
"I felt that since each ship needed one of each type of craftsperson, both were equally responsible for the construction of the ship since it would not have been able to been built without the other person. ",19,Male,Asian,Non-Hispanic,6802,895674,9/22/21 6:30
"I generally chose based on how likely it would be to find an alternative worker. If it would be difficult to find a replacement for a certain worker, then I considered that worker more responsible for the success of the project.",18,Male,Asian,Non-Hispanic,6783,661543,9/23/21 0:05
"I believe that regardless of how many available craftspeople (either tailors or carpenters) are present, every carpenter and every tailor in their projects were equally responsible for the success. Without each other, the project would have failed. Further, their existing level of work has no impact on their level of contribution to a different project. ",21,Female,Asian,Non-Hispanic,6819,465343,9/23/21 16:41
,20,Female,Asian,Non-Hispanic,6831,193173,9/24/21 6:20
I wasn't sure how to respond in all cases. At first I thought I should say both people were very much responsible because it takes two craftspeople to make a ship. Then I felt like I had to scale the rest of my responses to that.,19,Male,Asian,Non-Hispanic,6756,441542,9/25/21 1:28
if the person was busy or not and how many other busy/not busy people there were,20,Female,White,Non-Hispanic,6839,397528,9/25/21 3:04
"How many free-er workers there were for a village?
If there were fewer/no free-er workers, was the worker who ultimately took the job busy?
Was a busy worker taking the job when free-er workers were readily available?",22,Male,Asian,Non-Hispanic,5751,396383,9/25/21 4:23
"I reflected on how many carpenters/tailors there were in total. Also, I checked how busy they were and whether they still completed their work on the ship. ",19,Female,White,Hispanic,6825,448342,9/26/21 21:18
"I was a bit confused, but if the people were busy and there were less busy people, I assumed they didn't do as much. ",20,Female,Black/African American,Non-Hispanic,6772,277846,9/26/21 22:59
,20,Female,,Hispanic,6782,540892,9/28/21 0:12
"Whether the carpenter or tailor was busy slightly influenced the way I responded.
My question regarding the experiment is: why does the number of workers and how busy they are matter, when at the end it is always 2 people putting in (presumably) an equal amount of effort and thus both equally responsible?",19,Female,Asian,Non-Hispanic,6788,636744,9/28/21 1:19
"Today I felt particularly judgemental. Therefore, I was predisposed to being harsher on those who seemed like they were disgruntled in helping out. ",20,Male,White,Non-Hispanic,6861,353206,9/28/21 4:25
"If someone was busier, they likely had less time and energy to commit to the ship-building process, and thus were less of a contribution to the final product.",21,Female,White,Non-Hispanic,6817,404439,9/29/21 0:19
"i think that both had equal in how much they contributed to the success, but it was ""appreciated"" more if they took on more work if they were busy, and even more if they were busy and there were less busy options that said no ",20,Female,Asian,Non-Hispanic,6800,385958,9/29/21 7:37
"1. the number of craftsperson
2. how busy they were ",20,Female,Asian,Non-Hispanic,6828,322488,9/29/21 23:03
How busy they were relative to others.,19,Female,White,Hispanic,6777,506536,9/30/21 6:23
how many less busy craftspeople were available in a category,20,Female,Asian,Non-Hispanic,6888,399419,9/30/21 9:26
"I have a feeling that I did not correctly interpret the question. In my view, it doesn't matter how busy any craftsperson was, or who was around them. They built the ship; presumably, the ship would not have been built without them. Thus, anyone who participated in the ship-building process deserves equal, maximum credit for the success.",19,Male,White + Asian,Non-Hispanic,6891,314143,9/30/21 20:20
"If they were all busy, that was the most repsonsible. If they all were free, I puit less bc any of them could have done it. If everyone else was free and the busy person did it I also in the middle (but kinda less) bc others could have done it.",20,Male,White,Non-Hispanic,6897,392555,10/1/21 4:09
"I believe that no matter their busyness of the person, they equally contributed to the success of the boat. The amount of time they dedicated and their busy/free schedule shouldn't matter. Just because someone is busy and makes time for the boat doesn't make the boat any more successful— the boat would be made no matter their busyness.",19,Male,Asian,Non-Hispanic,6843,624754,10/1/21 5:54
The participation each person had on whether the ship was built or not ,19,Female,White,Hispanic,6758,236319,10/2/21 5:33
,19,Female,White,Hispanic,6904,314208,10/2/21 6:50
i chose to discount their level of busyness. either way the craftsman still contributed to building the ship and was therefore crucial to its success. ,20,Female,Asian,Non-Hispanic,6791,296883,10/2/21 7:37
Business likely increased output and productivity.,20,Male,White,Non-Hispanic,6878,510262,10/4/21 5:10
"I tried to look at how many other people were available and how busy they were. If there were many other options, then the person chosen was not vital. However, if there were no other option, then the person was vital.",19,Male,Multi-racial,Non-Hispanic,6921,363673,10/6/21 3:33
"At first I felt like they would both be responsible equally, but then I thought that when the busy workers took on the job, especlly while everyone else was also budy, they were a bit more responsible or noble for taking on an extra task when they're busy.",19,Female,Asian,Non-Hispanic,6937,581678,10/6/21 23:06
"The number of tailors and carpenters in the villages, how busy each person was who said yes",19,Female,Egyptian,Hispanic,6932,242495,10/7/21 17:51
The number and availability of other builders and how busy the builder who built the ship is. ,18,Female,Asian,Non-Hispanic,6943,1323457,10/8/21 1:15
"- how busy or not busy the rest of the carpenters or tailors were
- every carpenter and every tailor has a responsibility to make sure the ship is built so if you take up the position, you have 100% responsibility to make sure the ship is successfully created
- if you are a carpenter or tailor that is busy, you still have 100% responsibility for ensuring the ship building's success, but other workers who are less busy have more obligation to take up the role and create that success than one that is already busy",19,Female,Asian,Non-Hispanic,6762,596420,10/9/21 0:29
The number of people available (i.e. number of carpenters or tailors available) and whether or not the person highlighted was available affected their level of contribution to successfully building the ship.,20,Female,Asian,Non-Hispanic,6761,306823,10/9/21 21:23
"I later realized that some of the people selected were not the most free out of all of the possible workers. That made me think that those people were more inefficient, and, therefore, might have caused more trouble for the project.",20,Male,White,Non-Hispanic,6790,369171,10/9/21 22:12
,19,Male,Asian,Non-Hispanic,6869,160730,10/9/21 22:13
"I feel like regardless of how busy someone is, they are very much entitled to being responsible for the work they have done. Just because someone is not busy does not mean that their participation is somehow less valuable.",19,Male,White,Hispanic,6917,295250,10/10/21 18:28
,19,Male,Asian,Non-Hispanic,6811,274037,10/10/21 21:53
"None did. Without either worker, this job could not be done, so I think both contributed greatly",19,Male,Asian,Non-Hispanic,6860,425520,10/11/21 1:39
"I figured that the busy people probably worked on it a little less frequently so it might have taken longer. However generally, it doesn't matter how many other people there were or whether they were busy, the success was only determined by the two involved. ",20,Female,Asian/White,Non-Hispanic,6948,476446,10/11/21 5:34
"how many other people there were; how busy the other people were (I.e. if there were others available but they were busy, the person was ""more responsible"")",21,Female,White,Non-Hispanic,6949,403316,10/11/21 8:25
